price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
9372.88,2300000.0,15000000000000.0,16921265.83,15121494.33,16751365.75,21674808.0,219000000.0,246000000.0,2.14
9151.27,1900000.0,15000000000000.0,16923244.12,15126402.12,16753961.9,21502357.0,278000000.0,275000000.0,2.31
8594.03,2400000.0,14000000000000.0,16925045.01,15129209.19,16743647.46,21520765.0,370000000.0,255000000.0,2.23
8074.44,2400000.0,13000000000000.0,16926846.82,15130419.82,16746235.74,21542717.0,331000000.0,315000000.0,2.33
8309.71,1700000.0,14000000000000.0,16928797.73,15133173.28,16749806.06,21583067.0,213000000.0,231000000.0,2.18
8037.18,1400000.0,13000000000000.0,16930660.58,15134683.16,16744324.58,21616702.0,145000000.0,152000000.0,1.75
7688.08,2400000.0,13000000000000.0,16932549.13,15136327.8,16750321.1,21636205.0,279000000.0,157000000.0,1.9
8374.82,2300000.0,14000000000000.0,16934487.21,15139613.91,16757281.6,21647424.0,338000000.0,218000000.0,2.24
8661.81,1900000.0,14000000000000.0,16936075.28,15142104.91,16762630.32,21678317.0,258000000.0,279000000.0,2.24
8968.51,1700000.0,15000000000000.0,16937975.68,15144013.26,16764247.42,21705504.0,266000000.0,244000000.0,2.31
8742.96,1700000.0,14000000000000.0,16939763.66,15144931.11,16764246.39,21707564.0,212000000.0,228000000.0,2.09
8525.24,1500000.0,14000000000000.0,16941426.49,15147053.42,16766999.19,21678259.0,220000000.0,230000000.0,2.05
8827.17,1300000.0,15000000000000.0,16943376.73,15148630.17,16766769.95,21646646.0,181000000.0,149000000.0,1.84
8517.39,1000000.0,14000000000000.0,16945064.49,15150869.21,16766184.96,21647146.0,110000000.0,128000000.0,1.59
8148.58,1800000.0,13000000000000.0,16946939.97,15152423.14,16763987.5,21641318.0,265000000.0,239000000.0,2.17
7951.92,1500000.0,13000000000000.0,16948841.43,15153640.39,16762323.42,21599251.0,193000000.0,185000000.0,2.15
7922.35,1100000.0,13000000000000.0,16950529.35,15155644.64,16765142.2,21610911.0,192000000.0,348000000.0,2.1
7410.47,2300000.0,12000000000000.0,16952429.8,15158111.98,16754306.57,21636914.0,328000000.0,226000000.0,2.19
6873.86,2600000.0,11000000000000.0,16954455.38,15159409.83,16751686.77,21676651.0,336000000.0,290000000.0,2.13
7020.61,1400000.0,11000000000000.0,16956055.74,15161997.65,16754578.92,21660940.0,198000000.0,228000000.0,1.73
6739.6,1500000.0,11000000000000.0,16958081.14,15163423.74,16754616.02,21682857.0,272000000.0,134000000.0,1.55
6988.62,1200000.0,11000000000000.0,16960031.6,15164665.77,16759963.22,21710012.0,207000000.0,195000000.0,1.93
7333.64,1500000.0,12000000000000.0,16962069.82,15167154.49,16767968.37,21715323.0,456000000.0,413000000.0,2.36
7045.44,1400000.0,12000000000000.0,16963907.79,15169093.87,16758939.26,21736647.0,241000000.0,217000000.0,2.13
6748.46,1300000.0,11000000000000.0,16965858.24,15170492.09,16761128.06,21757178.0,331000000.0,318000000.0,2.1
6633.66,97000000.0,11000000000000.0,16967584.83,15172472.43,16757844.14,21776001.0,142000000.0,258000000.0,1.97
6894.08,97000000.0,11000000000000.0,16969836.28,15174131.73,16767112.53,21748616.0,146000000.0,133000000.0,1.8
6997.81,69000000.0,11000000000000.0,16971849.23,15176734.89,16770787.38,21784576.0,106000000.0,100000000.0,1.62
6880.47,1300000.0,11000000000000.0,16973687.2,15177699.52,16767643.52,21773273.0,171000000.0,223000000.0,2.02
6782.16,70000000.0,11000000000000.0,16975737.62,15179992.41,16771002.04,21792040.0,176000000.0,202000000.0,2.18
6889.24,73000000.0,11000000000000.0,16977750.44,15182197.7,16775411.6,21801387.0,217000000.0,360000000.0,2.08
7517.35,2300000.0,12000000000000.0,16979675.95,15183973.11,16793061.84,21802143.0,446000000.0,316000000.0,2.51
8003.73,2000000.0,13000000000000.0,16981738.97,15186572.33,16794943.21,21847086.0,319000000.0,371000000.0,2.47
8008.76,1000000.0,13000000000000.0,16983451.79,15187796.88,16797906.7,21879185.0,210000000.0,145000000.0,1.91
8241.53,1000000.0,14000000000000.0,16985489.64,15189197.89,16804934.77,21841388.0,156000000.0,228000000.0,1.98
